A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.PROBEID	Genes.ENTREZID	Genes.SYMBOL
4.88	-0.131	-1.06	0.30854	0.816231	1.12	0.30854	0	ILMN_1762337	346389	MACC1
5.01	-0.028	-0.22	0.82982	0.973519	0.05	0.82982	0	NA	NA	NA
4.79	0.136	1.37	0.19337	0.768451	1.89	0.19337	0	NA	NA	NA
4.55	0.214	2.04	0.0629	0.678692	4.15	0.0629	0	ILMN_2383229	29974	A1CF
4.58	-0.003	-0.03	0.97739	0.997181	0	0.97739	0	ILMN_1806310	29974	A1CF
4.89	0.052	0.35	0.73431	0.95252	0.12	0.73431	0	ILMN_1653355	23784 /// 404785 /// 641455	POTEH /// POTEG /// POTEM
5.34	-0.308	-2.22	0.04551	0.647202	4.91	0.04551	0	ILMN_1705025	23784 /// 404785 /// 641455	POTEH /// POTEG /// POTEM
5.22	-0.152	-1.32	0.21107	0.775634	1.73	0.21107	0	ILMN_1814316	54715	RBFOX1
4.43	0.128	1.63	0.12745	0.724012	2.66	0.12745	0	ILMN_1787689	54715	RBFOX1
6.04	0.426	1.32	0.20869	0.774828	1.75	0.20869	0	ILMN_3241953	87769	GGACT
10.58	-0.13	-0.61	0.55032	0.905964	0.38	0.55032	0	ILMN_1745607	2	A2M
4.59	-0.046	-0.29	0.77359	0.961942	0.09	0.77359	0	NA	NA	NA
4.83	-0.02	-0.16	0.8779	0.982359	0.02	0.8779	0	NA	NA	NA
7.68	-0.451	-1.06	0.30861	0.816304	1.12	0.30861	0	ILMN_1735045	53947	A4GALT
5.11	-0.062	-0.51	0.61624	0.925984	0.26	0.61624	0	ILMN_1680754	51146	A4GNT
4.61	0.133	1.35	0.20163	0.771922	1.81	0.20163	0	ILMN_2375184	404744	NPSR1-AS1
5.76	0.208	1.34	0.20243	0.772136	1.81	0.20243	0	ILMN_1659452	404744	NPSR1-AS1
4.82	-0.108	-1.42	0.17837	0.759003	2.03	0.17837	0	NA	NA	NA
5.92	-0.048	-0.27	0.79211	0.964567	0.07	0.79211	0	ILMN_1755321	8086	AAAS
7.5	-0.247	-0.73	0.4798	0.879731	0.53	0.4798	0	ILMN_1698554	65985	AACS
5.61	-0.114	-0.54	0.59812	0.920976	0.29	0.59812	0	ILMN_1814092	729522	AACSP1
5.53	-0.207	-0.89	0.38942	0.844646	0.79	0.38942	0	ILMN_1760414	13	AADAC
8.44	-0.192	-1.06	0.30697	0.815663	1.13	0.30697	0	ILMN_2061446	57552	NCEH1
9.8	-0.427	-2.54	0.02489	0.600509	6.46	0.02489	0	ILMN_1676336	57552	NCEH1
4.94	-0.001	0	0.99726	0.999481	0	0.99726	0	ILMN_1752884	344752	AADACL2
4.67	-0.057	-0.51	0.62029	0.927176	0.26	0.62029	0	ILMN_1660703	126767	AADACL3
5.48	0.708	2.56	0.02408	0.599371	6.55	0.02408	0	ILMN_1668851	343066	AADACL4
4.7	0.109	1.05	0.31225	0.817746	1.11	0.31225	0	ILMN_2270015	51166	AADAT
4.33	-0.07	-0.7	0.49856	0.886389	0.49	0.49856	0	ILMN_2357031	51166	AADAT
6.21	-0.008	-0.03	0.97275	0.996082	0	0.97275	0	ILMN_1726986	51166	AADAT
8.36	-0.13	-0.46	0.65115	0.936005	0.21	0.65115	0	ILMN_3237396	79719	AAGAB
9.39	0.021	0.1	0.91851	0.986529	0.01	0.91851	0	ILMN_1688755	22848	AAK1
4.69	-0.066	-0.58	0.56959	0.913029	0.34	0.56959	0	ILMN_1880387	22848	AAK1
9.21	-0.323	-3.09	0.00881	0.499338	9.53	0.00881	0	ILMN_1653165	14	AAMP
12.12	0.213	1.89	0.08161	0.684424	3.57	0.08161	0	ILMN_1662364	16	AARS
7.83	0.034	0.12	0.90324	0.985882	0.02	0.90324	0	ILMN_1674698	57505	AARS2
8.68	0.245	0.98	0.34592	0.831752	0.96	0.34592	0	ILMN_1700461	100885850	PTGES3L-AARSD1
7.89	-0.375	-2.01	0.06663	0.681391	4.02	0.06663	0	ILMN_1784269	132949	AASDH
9.16	0.118	0.7	0.49443	0.885022	0.49	0.49443	0	ILMN_1698189	60496	AASDHPPT
8	-0.01	-0.05	0.95967	0.994239	0	0.95967	0	ILMN_2096191	60496	AASDHPPT
5.48	0.03	0.15	0.88667	0.984065	0.02	0.88667	0	ILMN_1678323	10157	AASS
5.25	0.036	0.24	0.81154	0.96962	0.06	0.81154	0	ILMN_2157219	10157	AASS
9.62	-0.106	-0.71	0.49206	0.883865	0.5	0.49206	0	ILMN_1703743	26574	AATF
5.52	0.292	2.37	0.03429	0.622865	5.61	0.03429	0	ILMN_1687609	9625	AATK
4.89	0.087	0.57	0.58138	0.916143	0.32	0.58138	0	ILMN_2068874	9625	AATK
6.91	-0.275	-0.84	0.41628	0.855299	0.71	0.41628	0	ILMN_1699334	9625	AATK
4.75	-0.084	-0.76	0.46208	0.875165	0.57	0.46208	0	ILMN_1670117	18	ABAT
5.38	-0.722	-2.57	0.02348	0.598919	6.61	0.02348	0	ILMN_1805104	18	ABAT
12.63	0.125	0.51	0.61564	0.925954	0.26	0.61564	0	ILMN_1766054	19	ABCA1
5.25	0.055	0.38	0.70689	0.947165	0.15	0.70689	0	ILMN_1753388	10349	ABCA10
4.65	-0.049	-0.55	0.59024	0.918795	0.31	0.59024	0	ILMN_2070570	10349	ABCA10
7.03	-0.603	-3.29	0.00594	0.476844	10.85	0.00594	0	ILMN_2232084	79963	ABCA11P
4.46	0.046	0.4	0.69569	0.945115	0.16	0.69569	0	ILMN_2361400	26154	ABCA12
4.65	-0.048	-0.49	0.63586	0.932194	0.24	0.63586	0	ILMN_1687636	20	ABCA2
5.98	-0.09	-0.24	0.8118	0.969669	0.06	0.8118	0	ILMN_1747627	20	ABCA2
5.71	0.185	0.76	0.46081	0.874881	0.58	0.46081	0	ILMN_1758523	21	ABCA3
5.03	0.094	0.56	0.58589	0.917327	0.31	0.58589	0	ILMN_1794965	24	ABCA4
