A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.PROBEID	Genes.ENTREZID	Genes.SYMBOL
1.32	0.037	0.53	0.60139	0.807994	0.28	0.60139	0	ILMN_1762337	346389	MACC1
3.28	-0.012	-0.08	0.93468	0.975083	0.01	0.93468	0	NA	NA	NA
1.79	-0.005	-0.05	0.95923	0.985127	0	0.95923	0	NA	NA	NA
1.31	0.216	2.71	0.00931	0.085151	7.33	0.00931	0	ILMN_2383229	29974	A1CF
1.71	0.045	0.48	0.6363	0.82764	0.23	0.6363	0	ILMN_1806310	29974	A1CF
2	-0.236	-2.42	0.01919	0.129305	5.87	0.01919	0	ILMN_1779670	29974	A1CF
3.55	-0.527	-3.36	0.00154	0.03105	11.26	0.00154	-1	ILMN_1653355	23784 /// 404785 /// 641455	POTEH /// POTEG /// POTEM
1.09	-0.005	-0.06	0.94955	0.981151	0	0.94955	0	ILMN_1717783	23784	POTEH
1.47	0.036	0.46	0.64918	0.835111	0.21	0.64918	0	ILMN_1705025	23784 /// 404785 /// 641455	POTEH /// POTEG /// POTEM
1.78	-0.067	-0.32	0.7528	0.891914	0.1	0.7528	0	ILMN_1814316	54715	RBFOX1
2.29	-0.269	-1.3	0.19813	0.465011	1.7	0.19813	0	ILMN_2359168	54715	RBFOX1
2.53	0.007	0.05	0.95754	0.984342	0	0.95754	0	ILMN_1787689	54715	RBFOX1
10.68	0.559	3.34	0.00163	0.032045	11.13	0.00163	1	ILMN_1745607	2	A2M
1.88	0.011	0.04	0.96838	0.988433	0	0.96838	0	ILMN_2136495	144568	A2ML1
1.51	0.115	1.14	0.25789	0.534154	1.31	0.25789	0	NA	NA	NA
7.72	-0.205	-1.55	0.12818	0.367272	2.39	0.12818	0	ILMN_1735045	53947	A4GALT
2.76	-0.072	-0.48	0.63053	0.824299	0.23	0.63053	0	ILMN_1680754	51146	A4GNT
1.97	0.173	1.78	0.08112	0.287481	3.17	0.08112	0	ILMN_2375184	404744	NPSR1-AS1
3.02	-0.103	-0.84	0.40298	0.668755	0.71	0.40298	0	ILMN_1659452	404744	NPSR1-AS1
2.13	0.05	0.39	0.69552	0.86034	0.15	0.69552	0	NA	NA	NA
1.45	0.059	0.82	0.414	0.678142	0.68	0.414	0	NA	NA	NA
5.62	-0.178	-1.77	0.08228	0.289699	3.15	0.08228	0	ILMN_1755321	8086	AAAS
7.08	0.054	0.54	0.58975	0.801	0.29	0.58975	0	ILMN_1698554	65985	AACS
3.93	-0.15	-1.31	0.19712	0.46373	1.71	0.19712	0	ILMN_1814092	729522	AACSP1
8.62	1.537	2.63	0.01128	0.095332	6.94	0.01128	0	ILMN_1760414	13	AADAC
7.81	0.081	0.73	0.46624	0.716159	0.54	0.46624	0	ILMN_2061446	57552	NCEH1
7.96	-0.12	-0.99	0.32478	0.601216	0.99	0.32478	0	ILMN_1676336	57552	NCEH1
8.64	0.6	1.21	0.2337	0.507506	1.45	0.2337	0	ILMN_1752884	344752	AADACL2
1.65	0.024	0.3	0.76237	0.896619	0.09	0.76237	0	ILMN_1660703	126767	AADACL3
6.16	0.465	1.2	0.2346	0.508434	1.45	0.2346	0	ILMN_1668851	343066	AADACL4
2.87	0.645	3.35	0.00155	0.031197	11.25	0.00155	1	ILMN_2270015	51166	AADAT
