A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.PROBEID	Genes.ENTREZID	Genes.SYMBOL
5.98	0.132	1.01	0.31682	0.804689	1.02	0.31682	0	ILMN_1725528	400657	LINC00909
1.56	0.014	0.15	0.88455	0.983367	0.02	0.88455	0	ILMN_1683555	100505679	UBE2Q2L
2.41	0.134	1.03	0.3077	0.799203	1.06	0.3077	0	NA	NA	NA
2.34	-0.197	-1.55	0.12692	0.61898	2.39	0.12692	0	ILMN_1773680	317761	C14orf39
3.73	0.52	2.75	0.00775	0.181179	7.58	0.00775	0	ILMN_1731647	399726	CASC10
2.03	-0.052	-0.43	0.67198	0.939744	0.18	0.67198	0	NA	NA	NA
4.41	0.258	1.96	0.05507	0.457851	3.82	0.05507	0	ILMN_1746533	996	CDC27
10.24	0.073	0.49	0.62853	0.929684	0.24	0.62853	0	ILMN_1800540	1604	CD55
1.42	-0.024	-0.29	0.77051	0.961361	0.09	0.77051	0	NA	NA	NA
1.8	0.164	1.74	0.08609	0.540005	3.04	0.08609	0	NA	NA	NA
1.73	-0.116	-1.56	0.12493	0.614843	2.42	0.12493	0	NA	NA	NA
1.64	0.017	0.16	0.87374	0.98123	0.03	0.87374	0	NA	NA	NA
1.87	-0.192	-1.83	0.07242	0.508084	3.34	0.07242	0	NA	NA	NA
1.74	0.025	0.2	0.8394	0.975736	0.04	0.8394	0	NA	NA	NA
4.98	0.146	1.63	0.108	0.582528	2.66	0.108	0	ILMN_1785340	580	BARD1
3.29	-0.102	-0.46	0.64812	0.934003	0.21	0.64812	0	ILMN_1779536	55857	KIZ
1.5	0.081	0.73	0.46706	0.875391	0.54	0.46706	0	NA	NA	NA
2.15	-0.044	-0.26	0.7978	0.967761	0.07	0.7978	0	NA	NA	NA
7.39	0.322	4.19	9e-05	0.013016	17.53	9e-05	1	ILMN_1654552	10240	MRPS31
6.71	0.153	1.71	0.09206	0.553205	2.93	0.09206	0	ILMN_1754400	84153	RNASEH2C
2.77	0.111	0.64	0.52174	0.896835	0.42	0.52174	0	NA	NA	NA
7.52	-0.232	-1.68	0.0986	0.566021	2.81	0.0986	0	ILMN_1654861	50	ACO2
8.47	-0.032	-0.21	0.83227	0.974271	0.05	0.83227	0	ILMN_1697268	84034	EMILIN2
5.37	-0.344	-1.44	0.15456	0.661009	2.08	0.15456	0	ILMN_1720430	79144	PPDPF
1.48	-0.064	-0.8	0.42634	0.859967	0.64	0.42634	0	ILMN_1809604	9848	MFAP3L
9.91	0.198	2.68	0.0095	0.20256	7.17	0.0095	0	ILMN_1665877	284996	RNF149
8.73	-0.043	-0.44	0.65806	0.936375	0.2	0.65806	0	ILMN_1789751	64747	MFSD1
3.4	0.128	0.78	0.43898	0.864823	0.61	0.43898	0	NA	NA	NA
8.42	0.198	2.16	0.03463	0.373171	4.67	0.03463	0	ILMN_1695763	10954	PDIA5
1.84	-0.18	-1.74	0.08619	0.54031	3.04	0.08619	0	NA	NA	NA
1.72	-0.032	-0.24	0.80904	0.970332	0.06	0.80904	0	NA	NA	NA
2	0.101	0.75	0.45522	0.870148	0.56	0.45522	0	ILMN_1672235	404785	POTEG
1.79	-0.076	-0.65	0.51652	0.895828	0.43	0.51652	0	NA	NA	NA
2.18	0.138	1.14	0.25845	0.763637	1.3	0.25845	0	NA	NA	NA
2.89	-0.358	-1.54	0.12939	0.622307	2.36	0.12939	0	ILMN_1675100	1910	EDNRB
1.85	0.038	0.41	0.68327	0.942115	0.17	0.68327	0	NA	NA	NA
5.69	-0.157	-0.54	0.59391	0.919892	0.29	0.59391	0	ILMN_1751530	90480	GADD45GIP1
1.8	0.021	0.23	0.82185	0.972709	0.05	0.82185	0	ILMN_1723803	56606	SLC2A9
1.62	0.123	1.4	0.1668	0.675841	1.96	0.1668	0	NA	NA	NA
